0.000000000000000000e+00,0.000000000000000000e+00,6.252891433988998493e-01,4.397679568434420538e-02,3.307340609167559453e-01
1.000000000000000000e+00,0.000000000000000000e+00,5.808014987935814499e-01,5.997846930005484856e-02,3.592200319063637015e-01
1.000000000000000000e+00,1.000000000000000000e+00,7.818841578434787554e-01,7.081973699862109672e-02,1.472961051579002312e-01
0.000000000000000000e+00,1.000000000000000000e+00,5.430416463075262712e-01,3.795376577885269803e-02,4.190045879136210516e-01
0.000000000000000000e+00,2.000000000000000000e+00,4.250159956477375101e-01,6.714501389543303667e-02,5.078389904568294533e-01
0.000000000000000000e+00,3.000000000000000000e+00,4.778462155620313290e-01,7.151766907996409683e-02,4.506361153580045742e-01
1.000000000000000000e+00,3.000000000000000000e+00,6.528161157321543673e-01,1.646063762106926842e-01,1.825775080571528930e-01
1.000000000000000000e+00,2.000000000000000000e+00,7.586482160030654232e-01,1.596350085480983949e-01,8.171677544883615418e-02
2.000000000000000000e+00,2.000000000000000000e+00,7.507173481479572086e-01,1.668232321378419758e-01,8.245941971420073235e-02
2.000000000000000000e+00,3.000000000000000000e+00,6.459902258390307628e-01,1.688565924217174941e-01,1.851531817392517154e-01
3.000000000000000000e+00,3.000000000000000000e+00,4.789755802974057786e-01,7.224340889893271500e-02,4.487810108036615064e-01
3.000000000000000000e+00,2.000000000000000000e+00,4.228412328869002312e-01,6.839325749202113114e-02,5.087655096210785821e-01
3.000000000000000000e+00,1.000000000000000000e+00,5.437822493793625922e-01,3.813432558489103508e-02,4.180834250357463588e-01
2.000000000000000000e+00,1.000000000000000000e+00,7.787190485629393866e-01,7.454329081311820981e-02,1.467376606239424452e-01
2.000000000000000000e+00,0.000000000000000000e+00,5.818178762167358631e-01,5.983564317216277795e-02,3.583464806111013035e-01
3.000000000000000000e+00,0.000000000000000000e+00,6.247308754209455195e-01,4.677327935734989367e-02,3.284958452217044966e-01
